number,planet,distance,diameter,density
1,Mercury,35980000,3032,5427
2,Venus,67240000,7521,5243
3,Earth,92960000,7926,5515
4,Mars,141600000,4222,3933
5,Jupiter,483632000,88846,1326
6,Saturn,888188000,74898,687
7,Uranus,1783950000,31763,1270
8,Neptune,2798842000,30778,1638
9,Pluto,3670000000,1485,1750
