code,city,country,lat,lon
ATL,Atlanta,USA,33.748995,-84.387982
QSF,San Francisco,USA,37.774929,-122.419416
LGA,New York,USA,40.714353,-74.005973
LHR,London,UK,51.511214,-0.119824
ATH,Athens,Greece,37.983716,23.72931
SVO,Moscow,Russia,55.755826,37.6173
DXB,Dubai,United Arab Emirates,25.271139,55.307485
