Year,Chinese,French,Tagalog,Vietnamese,Korean,German,Russian,Italian,Portuguese,Polish,Japanese,Persian,Greek,Serbo-Croatian,Armenian,Yiddish
1980,630806,1550751,474150,197588,266280,1586593,173226,1618344,351875,820647,336318,106992,401443,150255,100634,315953
1990,1319462,1930404,843251,507069,626478,1547987,241798,1308648,430610,723483,427657,201865,388260,142078,149694,213064
2000,2022143,2097206,1224241,1009627,894063,1383442,706242,1008370,564630,667414,477997,312085,365436,233865,202708,178945
2010,2808692,2069352,1573720,1381488,1137325,1067651,854955,725223,688326,608333,443497,381408,307178,284077,240402,154763
